Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,USD,17145000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,USD,19428000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,USD,1328000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,USD,1385000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,USD,1220000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,USD,1266000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,USD,8932000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,USD,9230000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,USD,7976000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,USD,8304000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,USD,46857000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
