Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,358500000.0,2021-01-01,2021-12-31,0000875320-24-000062,2023,FY,10-K,2024-02-15,CY2021,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,347200000.0,2022-01-01,2022-12-31,0000875320-24-000062,2023,FY,10-K,2024-02-15,CY2022,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,81800000.0,2023-01-01,2023-03-31,0000875320-24-000139,2024,Q1,10-Q,2024-05-07,CY2023Q1,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,169800000.0,2023-01-01,2023-06-30,0000875320-24-000198,2024,Q2,10-Q,2024-08-02,,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,88000000.0,2023-04-01,2023-06-30,0000875320-24-000198,2024,Q2,10-Q,2024-08-02,CY2023Q2,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,413700000.0,2023-01-01,2023-12-31,0000875320-24-000062,2023,FY,10-K,2024-02-15,CY2023,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,112900000.0,2024-01-01,2024-03-31,0000875320-24-000139,2024,Q1,10-Q,2024-05-07,CY2024Q1,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,186400000.0,2024-01-01,2024-06-30,0000875320-24-000198,2024,Q2,10-Q,2024-08-02,,VRTX
us-gaap,AllocatedShareBasedCompensationExpenseNetOfTax,USD,73500000.0,2024-04-01,2024-06-30,0000875320-24-000198,2024,Q2,10-Q,2024-08-02,CY2024Q2,VRTX
us-gaap,AmortizationOfIntangibleAssets,USD,1700000.0,2023-01-01,2023-12-31,0000875320-24-000062,2023,FY,10-K,2024-02-15,CY2023,VRTX
us-gaap,Assets,USD,18150900000.0,,2022-12-31,0000875320-24-000062,2023,FY,10-K,2024-02-15,CY2022Q4I,VRTX
